file,treatment,replicate,egg_mass_count,number_nymphs_per_replicate,adult_molts_per_replicate,surviviorship,sex_ratio,nb.calls,intercall.dur,dom.freq,whine.dur,pulse.rate,nb.pulse,mass,temp
A4_Male_1_final.txt,High,A4,77,30,23,76.66666667,0.916666667,3,3.014116,177.8199277,0.334195,26.22245822,4,n/a,24
A4_Male_2_final.txt,High,A4,77,30,23,76.66666667,0.916666667,2,2.539683,187.6563803,0.706848,21.69816,7,5.104,24
A4_Male_3_Final.txt,High,A4,77,30,23,76.66666667,0.916666667,4,2.708571,185.2080504,0.508503,21.820857,7,4.67,24.5
A4_Male_4_final.txt,High,A4,77,30,23,76.66666667,0.916666667,4,2.717211,178.6210455,0.731224,24.79752818,5,4.926,24
A4_Male_5_final.txt,High,A4,77,30,23,76.66666667,0.916666667,3,1.500719,181.8990258,0.536371,18.50833404,7,4.64,24
A4_Male_6_final.txt,High,A4,77,30,23,76.66666667,0.916666667,2,2.722825,188.6396982,0.615079,23.0624115,5,5.106,24
A4_Male_7_final.txt,High,A4,77,30,23,76.66666667,0.916666667,6,2.370378,183.411453,0.687419,19.09824455,6,4.898,24
AB1_Male_1_final.txt,Low,AB1,6,30,22,73.33333333,2.142857143,1,n/a,179.2257448,0.844988,29.78717067,4,4.612,24.5
AB1_Male_2_final.txt,Low,AB1,6,30,22,73.33333333,2.142857143,5,2.029933,185.2080504,0.878447,29.76500528,4,4.696,24.5
AB1_Male_3_final.txt,Low,AB1,6,30,22,73.33333333,2.142857143,5,2.731978,181.7300703,0.981373,23.18872842,5,4.596,24.5
AD1_Male_1_final.txt,Low,AD1,38,30,9,30,0.5,5,3.297576,179.5905336,0.57202,21.17492606,6,n/a,24.5
AD2_Male_1_final.txt,Low,AD2,38,30,15,50,1.5,5,2.399569,185.8122058,0.471677,24.69489458,5,4.59,24
AD2_Male_2_final.txt,Low,AD2,38,30,15,50,1.5,4,2.376644,181.7741154,0.619183,27.6073789,5,n/a,24
AD2_Male_3_final.txt,Low,AD2,38,30,15,50,1.5,3,2.357342,176.8728874,0.462104,22.05185125,6,4.938,24.5
AD2_Male_4_final.txt,Low,AD2,38,30,15,50,1.5,6,2.038439,185.9043212,0.469707,22.9904084,5,4.678,24.5
AD2_Male_5_final.txt,Low,AD2,38,30,15,50,1.5,6,1.977614,184.8618671,0.333184,21.0128809,7,4.906,24.5
