treatment,replicate,sex,initial_nymphs,# of adults (5/4/2021),# of adults (5/7/2021),# of adults (5/10/2021),# of adults (5/12/2021),# of adults (5/14/2021),# of adults (5/20/2021),final adult count,total adults,# of adults that called,total responsive adults,survivorship,proportion_called,proportion_males
Medium,K2,# male,30,0,2,6,7,7,7,7,23,5,16,0.766666667,0.695652174,0.304347826
Medium,K2,#female,30,0,0,13,15,16,16,16,23,11,16,0.766666667,0.695652174,0.304347826
Medium,K3,# male,30,0,5,11,11,11,11,11,21,2,13,0.7,0.619047619,0.523809524
Medium,K3,#female,30,0,1,8,9,10,10,10,21,0,13,0.7,0.619047619,0.523809524
Medium,L1,# male,30,0,3,7,9,10,10,10,24,6,18,0.8,0.75,0.416666667
Medium,L1,#female,30,0,0,10,14,15,14,14,24,12,18,0.8,0.75,0.416666667
Medium,L2,# male,30,0,4,5,5,6,6,6,22,3,3,0.733333333,0.136363636,0.272727273
Medium,L2,#female,30,0,3,14,16,16,16,16,22,0,3,0.733333333,0.136363636,0.272727273
Medium,L3,# male,30,0,7,7,8,11,11,11,16,4,8,0.533333333,0.5,0.6875
Medium,LF,#female,30,0,2,6,6,5,5,5,16,4,8,0.533333333,0.5,0.6875
Medium,M1,# male,30,0,5,8,9,11,11,11,22,2,2,0.733333333,0.090909091,0.5
Medium,M1,#female,30,0,0,6,8,9,11,11,22,0,2,0.733333333,0.090909091,0.5
Medium,M2,# male,30,2,4,11,11,12,12,12,26,6,17,0.866666667,0.653846154,0.461538462
Medium,M2,#female,30,0,1,9,NA,13,14,14,26,11,17,0.866666667,0.653846154,0.461538462
