female_ID,peak_pref,peak_height,tolerance,strength,responsiveness,plant_replicate,treatment,temp,mass,selectivity_PC1
X35,250,3.225,61.2645,0.094,2.056,K2,Med,24.5,8.69,0.011635554
X36,250,2.245,46.2825,0.028,1.5,K2,Med,24.5,8.862,-0.723002623
X37,221.2625,2.541,110,0.001,2.389,K2,Med,24.5,8.752,1.308002609
X38,169.238,2.724,95.271,0.04,2.5,K2,Med,25,9.154,1.086415672
X39,140,3.177,110,0.009,2.667,K2,Med,24.5,8.622,1.534117447
X40,250,3.072,110,0.002,2.778,X1,Low,24.5,9.788,1.628507941
X41,250,3.023,100.2155,0.02,2.778,X1,Low,24.5,9.83,1.423663124
X42,140,2.863,96.855,0.013,2.111,X1,Low,24,9.102,0.808373687
X43,170.6405,2.912,84.2215,0.048,2.556,X1,Low,24,10.274,0.906251424
X44,224.8925,3.097,90.5685,0.048,2.444,L3,Med,24,10.218,0.942030474
X45,250,2.866,110,0.001,2.611,L3,Med,24,8.852,1.491143038
X46,214.635,1.228,78.0835,0.024,1,L3,Med,24.5,8.316,-0.49166554
X47,140,3.158,95.7165,0.012,2.444,L3,Med,25,10.378,1.060495838
X49,211.9345,0.594,39.633,0.333,0.278,A3,High,24.5,9.7,-1.988266616
X50,140,3.173,77.1595,0.042,2.556,A3,High,24.5,8.868,0.76605555
X51,211.049,2.474,44.1925,0.352,1.222,A3,High,24.5,9.376,-1.125085731
X52,140,2.808,110,0.002,2.444,A3,High,24.5,8.346,1.352972341
X53,185.045,0.851,93.61,0.035,0.778,R1,Low,24.5,8.406,-0.365688596
X54,140,2.158,23.463,0.064,1.167,A1,High,25,7.6,-1.473044983
X55,140,3.017,63.7285,0.02,2.056,A1,High,25,9.302,0.091209087
X56,187.7125,0.283,49.4505,0.186,0.222,A1,High,24.5,10.712,-1.776979235
X57,250,3.123,110,0.011,2.444,A1,High,25,9.038,1.349346266
X58,140,2.132,110,0.002,2,A1,High,25,8.864,0.986691483
X59,212.589,1.395,17.7705,1.56,0.278,A1,High,25,8.41,-2.924122748
X60,171.812,0.537,50.2975,0.203,0.389,M2,Med,24.5,9.298,-1.628955981
X62,250,3.102,80.938,0.022,2.389,M2,Med,25,9.13,0.71265045
X63,168.8695,3.175,47.124,0.172,2.167,M2,Med,25,8.108,-0.213779933
X64,250,3.011,110,0.005,2.444,M2,Med,24.5,9.58,1.351763649
X65,140,1.79,5.9785,0.461,0.778,M2,Med,25,7.888,-2.306993372
X66,250,3.242,47.102,0.145,1.722,M2,Med,25,9.146,-0.570451803
X67,179.8365,2.734,82.06,0.053,2.444,M2,Med,25,n/a,0.768191448
X68,197.2935,0.401,71.764,0.09,0.333,M2,Med,24.5,8.686,-1.19612187
X69,250,2.672,13.178,0.163,1.278,M2,Med,25,8.862,-1.629061581
X70,216.307,2.859,80.443,0.053,2.278,M2,Med,25,8.418,0.598594167
X71,209.179,3.233,48.1195,0.338,1.778,L2,Med,25,8.124,-0.581465508
X72,182.614,3.036,82.159,0.114,2.667,L2,Med,25,8.152,0.929579358
X73,220.982,3.182,66.407,0.199,2.167,L2,Med,25,8.218,0.164751565
X74,197.079,2.669,70.048,0.084,2.222,L2,Med,25.5,7.64,0.329985385
X75,178.016,2.838,24.332,0.309,1.778,L2,Med,25,8.596,-1.050157144
X76,211.753,2.848,54.9725,0.179,2,L2,Med,25.5,n/a,-0.195871815
X77,201.468,2.82,33.5225,0.476,1.444,L2,Med,25,7.88,-1.207379409
X78,198.388,3.097,72.4845,0.175,2.389,L2,Med,25.5,7.862,0.48029334
X79,204.163,1.531,38.324,0.36,0.833,L2,Med,25,7.88,-1.567728311
X80,170.3435,3.038,76.747,0.046,2.778,W1,Low,25.5,7.162,0.939254176
X81,250,2.332,32.9725,0.103,1.389,D3,High,25,9.054,-1.113578351
X82,250,2.678,68.695,0.087,1.778,D3,High,24.5,9.638,-0.064827265
X83,250,3.063,81.6035,0.018,2.111,D3,High,24.5,9.35,0.498363435
X84,250,2.571,7.4305,0.249,1.056,A3,High,25,7.814,-1.962918809
X85,204.5205,2.075,100.8975,0.015,1.944,A3,High,24.5,9.912,0.751436186
X86,250,2.96,110,0.002,2.611,A3,High,25,9.948,1.490740141
X87,140,3.057,110,0.002,2.722,A3,High,24.5,8.976,1.582310355
X88,140,2.739,29.6615,0.151,1.444,A3,High,24.5,8.936,-1.154408634
X89,140,3.004,110,0.001,2.778,A3,High,25,9.778,1.628910838
X91,242.9765,3.103,72.2975,0.028,2.667,W1,Low,25.5,7.942,0.765080873
X92,140,2.989,24.7005,0.258,1.278,W1,Low,25.5,n/a,-1.434646176
X93,208.0735,2.665,79.7995,0.062,2.167,W1,Low,25.5,8.154,0.490402745
X94,140,2.74,110,0,2.611,W1,Low,25,7.822,1.491545935
X95,250,3.037,110,0.001,2.778,W1,Low,24.5,7.642,1.628910838
X96,140,3.41,32.967,0.125,1.778,W1,Low,24,8.384,-0.801644929
X97,140,3.139,95.2545,0.014,2.389,R1,Low,25,8.096,1.004987575
X98,140,2.726,26.0095,0.228,1.278,R1,Low,24.5,9.926,-1.396124716
X99,140,2.015,12.9965,1.118,0.444,R1,Low,25,9.478,-2.705507701
X100,250,2.67,40.469,0.171,1.722,R1,Low,24.5,9.624,-0.714876965
X101,250,2.515,80.5585,0.017,1.778,R1,Low,24.5,8.71,0.20295248
X102,250,2.383,16.61,0.97,0.556,R1,Low,25.5,10.584,-2.48051108
X103,178.379,2.874,57.4255,0.053,2.5,E1,High,25,8.704,0.316908674
X104,250,3.08,110,0.003,2.722,E1,High,24.5,8.64,1.581907458
X105,250,3.107,110,0.01,2.444,E1,High,25,8.886,1.349749163
X106,250,2.847,36.036,0.101,2.222,E1,High,25,9.06,-0.363717749
X107,193.295,2.978,78.5125,0.056,2.444,E1,High,24.5,8.318,0.695342919
X108,250,3.13,110,0.014,2.389,E1,High,24,8.34,1.302764946
